symbol,price,ram_raw,exp_slope,ret_12_1,ret_3m,stoch_k,rsi,cci,wpr,ma_score,stoch_d,atr,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,ret_1w,weekly_exp_slope,weekly_rsi,vol_surge,price_vs_ema20,ram_score,rank_ram_score,rank_exp_slope,rank_ret_12_1,rank_ret_3m,rank_stoch_k,rank_rsi,rank_cci,rank_wpr,rank_ma_score,rank_vol_ratio,momentum_score,weekly_rank_ret_1w,weekly_rank_weekly_exp_slope,weekly_rank_weekly_rsi,weekly_rank_vol_surge,weekly_rank_price_vs_ema20,weekly_score,market,rank_change,name,sector
DELL,394.3900146484375,1.6670719982110938,22.73502757500989,1.0906037381569549,1.700780409654986,68.97703608435789,74.5063381098308,49.04445579506835,-31.022963915642112,4.0,76.8299396802709,21.122665405273438,1,1,1.0,1.0,1.372365382043686,-0.15359682830954058,-0.06300631674927148,61032.442990242016,38.81579099777527,1.5400583544541104,0.18896705834518945,1.463317891999297,81.2956204379562,99.46332737030411,89.32481751824818,99.375,64.38112199465716,91.98575244879787,67.14158504007123,35.707925200356186,85.67615658362989,94.55357142857143,80.89048780225923,13.523131672597867,99.73309608540926,39.324817518248175,90.28520499108734,99.55516014234875,68.48428208193829,US,5.0,Dell Technologies Inc.,Technology
HPE,49.20000076293945,1.470250630238865,4.916029647404577,0.7146031848104433,1.343457195266856,70.46323843281942,74.63280333405433,64.25651103905108,-29.536761567180573,4.0,85.25286511617803,2.247333780924479,1,1,1.0,1.0,1.5573636137102338,-0.12377561129248194,0.1431226699902275,165490.27391695345,65.3539367539971,3.910126753592443,0.19196443336380709,1.3609013685792326,79.01459854014598,97.76386404293382,84.12408759124088,99.01785714285715,65.44968833481745,92.16384683882458,72.3953695458593,34.6393588601959,85.67615658362989,98.30357142857142,80.85483989090764,98.84341637010677,99.8220640569395,76.36861313868614,99.46524064171123,99.644128113879,94.82869246426453,US,5.0,Hewlett Packard Enterprise Company,Technology
JBHT,284.95001220703125,1.99425904764513,0.5819884454584552,0.7544095912804609,0.3378342161611543,100.0,72.71275269497619,115.42365517562118,-0.0,4.0,100.0,3.840667724609375,1,1,1.0,1.0,1.062391701678179,0.0,0.030821617613841834,7.513760038216128,76.19930631672197,0.8991704253820003,0.06876582880336524,1.6335705452367795,85.3102189781022,86.8515205724508,85.12773722627736,92.05357142857142,93.36598397150489,90.20480854853072,87.17720391807659,6.723063223508459,85.67615658362989,59.464285714285715,77.1954550164938,80.0711743772242,91.19217081850533,88.6861313868613,41.711229946524064,94.9288256227758,79.31790643037814,US,19.0,"J.B. Hunt Transport Services, Inc.",Industrials
MU,864.010009765625,7.495866470261388,7.068008268469488,5.098201264536321,1.3342505644578506,45.84328977417619,60.11703999816369,-11.707375838599203,-54.15671022582381,4.0,74.94913225429873,49.335986328125,1,1,1.0,1.0,1.1283557767783376,-0.19967204280223616,-0.11018536584384653,41.75670004123332,33.495815117999214,0.9517241033661905,0.012969786964147634,4.0,99.58941605839416,98.47942754919498,98.35766423357664,98.92857142857143,45.057880676758685,67.05253784505788,45.68121104185218,55.03116651825467,85.67615658362989,72.41071428571428,76.62647462210047,4.270462633451958,95.8185053380783,33.75912408759124,50.26737967914438,65.74733096085409,49.97256053982399,US,21.0,"Micron Technology, Inc.",Technology
HST,24.6200008392334,2.0029188882468234,0.6271780997407109,0.48847164706047264,0.29394046958275744,100.0,86.32286516080308,146.64115293589603,-0.0,4.0,100.0,0.3080003102620443,1,1,1.0,1.0,0.9996369894000905,0.0,0.07136646343194286,5.739213984202439,,1.0288050983629227,0.07618996027060576,1.6380767163752836,85.40145985401459,87.47763864042933,78.1021897810219,90.53571428571429,93.36598397150489,99.19857524487978,93.32146037399822,6.723063223508459,85.67615658362989,43.392857142857146,76.31950991015584,95.19572953736655,90.0355871886121,,60.42780748663101,96.26334519572953,85.48061735208479,US,20.0,"Host Hotels & Resorts, Inc.",Real Estate
NUE,254.38999938964844,3.154782894257939,1.2278849684884487,0.9380052700607757,0.5126378553258422,80.5425430435167,74.79616691503568,61.736553980505924,-19.45745695648329,4.0,92.85170660334131,4.0679982503255205,1,1,1.0,1.0,0.9616249305903545,-0.03008235254830738,0.01755999755859383,11.286443971628893,60.14796044699941,0.9838743559889909,0.05462734496630861,2.237452222011502,93.61313868613139,92.03935599284436,87.68248175182481,95.98214285714286,73.6420302760463,92.34194122885128,71.86108637577917,26.447016918967055,85.67615658362989,34.375,75.36603506712171,71.88612099644128,92.79359430604983,70.52919708029196,54.278074866310156,91.81494661921708,76.26038677366206,US,27.0,Nucor Corporation,Basic Materials
ROST,230.3699951171875,2.4096691450590484,0.5400467717569252,0.5939222044861183,0.0902459080379372,81.28949329622696,65.03926966139946,40.72078036215072,-18.71050670377303,4.0,88.22867482569417,3.939997355143229,1,1,1.0,1.0,1.3455677615330752,-0.018908915666158155,-0.005868901891970091,-0.03982551390731772,46.57257583833051,0.8782312183111461,0.019137911545435093,1.8497302966349451,89.32481751824818,86.22540250447227,81.75182481751825,72.58928571428571,74.08726625111309,77.20391807658059,64.02493321460373,26.001780943900265,85.67615658362989,93.30357142857143,75.01889570529235,48.843416370106766,40.74733096085409,51.003649635036496,38.146167557932266,70.72953736654804,49.89402037809553,US,33.0,"Ross Stores, Inc.",Consumer Cyclical
STLD,268.5,2.3588505258131263,0.9932131550592925,0.787071742560153,0.48301834125673637,84.38667840653537,78.37680169730733,66.31993503309452,-15.61332159346463,4.0,94.79555946884511,4.956001790364583,1,1,1.0,1.0,0.9649488762852858,-0.030160758242474106,0.032096891406571126,20.95497277385596,66.66666666666666,0.9449802482410415,0.07030845923345441,1.8232866926614697,88.77737226277372,90.608228980322,85.67518248175182,95.71428571428572,77.02582368655388,95.19145146927872,73.0186999109528,23.063223508459483,85.67615658362989,35.267857142857146,75.00182817408651,80.96085409252669,94.30604982206405,78.01094890510949,49.01960784313725,95.2846975088968,79.51643163434684,US,31.0,"Steel Dynamics, Inc.",Basic Materials
AMAT,453.010009765625,3.2153074870708234,1.2644247872312837,1.5162237952741973,0.3967271704917674,48.906147822639475,54.52880013634592,6.570946183429091,-51.093852177360525,4.0,82.96871594087983,12.724898274739584,1,1,1.0,1.0,1.211248844134336,-0.09705003240325583,0.006554708756685734,8.649054890553149,51.47015434293686,1.1613916085962626,0.00937991634080304,2.2689463552002582,93.7043795620438,92.3076923076923,92.24452554744525,93.30357142857143,48.08548530721282,52.98308103294747,51.380231522707035,52.00356188780053,85.67615658362989,84.19642857142857,74.5885113751479,61.56583629893239,91.63701067615658,58.3941605839416,73.88591800356507,62.45551601423488,69.5876883153661,US,39.0,"Applied Materials, Inc.",Technology
SPG,210.30999755859375,1.716728635420076,0.08843922064038054,0.31525438794302074,0.0919114405351309,100.0,76.05063604090131,190.70324445718612,-0.0,4.0,80.20230396015657,1.5019989013671875,1,1,1.0,1.0,1.1250500521632067,0.0,0.026353002781595913,0.003959476619192182,77.49485676638221,1.1688863023974756,0.02938230770801953,1.4891568555227748,82.02554744525547,72.98747763864043,67.7919708029197,73.21428571428571,93.36598397150489,93.766696349065,97.95191451469279,6.723063223508459,85.67615658362989,71.875,74.53780962435025,77.58007117437722,58.00711743772242,89.50729927007299,74.15329768270945,79.8932384341637,75.82820479980916,US,40.0,"Simon Property Group, Inc.",Real Estate
